Number;SoluteName;Formula;Charge;GasPhaseAcidity_B2PLYP//DLPNO-CCSD(T) [kcal/mol];pka_water;pka_DMSO;pka_Acetonitrile;pka_MeOH;Gsolv_Neutral_Water_exp [kcal/mol];Gsolv_Neutral_DMSO_TZVPD-Fine [kcal/mol];Gsolv_Neutral_Acetonitrile_TZVPD-Fine [kcal/mol];Gsolv_Neutral_MeOH_TZVPD-Fine [kcal/mol];GSolv_Ion_Water [kcal/mol];GSolv_Ion_DMSO [kcal/mol];GSolv_Ion_Acetonitrile [kcal/mol];GSolv_Ion_MeOH [kcal/mol]
i001;acetylene;H1C2;-1;371.6057649;21.7;;;;0;-2.30238409;-2.16888776;-1.74038127;-80.97627024;;;
i003;methylamine;H6C1N1;1;206.8903036;10.6;11;18.4;11;-4.6;-2.86432643;-3.03024055;-4.75002117;-73.19332052;-72.00344408;-82.26660521;-73.88913882
i004;n-propylamine;H10C3N1;1;212.0020711;10.6;;18.2;;-4.4;-3.34967271;-3.71754331;-5.37130582;-67.88155301;;-77.5692419;
i005;isopropylamine;H10C3N1;1;213.5118352;10.6;;;;-3.7;-3.37523085;-3.74572616;-5.48785441;-65.67178887;;;
i006;tert-butylamine;H12C4N1;1;215.7381898;10.7;;18.1;;-3.9;-3.57300346;-4.10527027;-5.7665056;-63.78188363;;-74.08440091;
i007;cyclohexanamine;H14C6N1;1;216.2174879;10.7;;;;-5.1;-4.79462634;-5.43540546;-7.24002181;-64.50258553;;;
i008;allylamine;H8C3N1;1;210.0871002;9.5;;;;-4.3;-4.0649449;-4.28184184;-5.66925812;-68.19558182;;;
i009;dimethylamine;H8C2N1;1;214.8492738;10.7;;;;-4.3;-2.60383822;-2.8926164;-4.48826399;-65.07079956;;;
i010;diethylamine;H12C4N1;1;220.2434657;11;;18.8;;-4.1;-2.9616321;-3.55588243;-5.4330959;-59.8859555;;-69.98488208;
i011;di-n-propylamine;H16C6N1;1;222.4308527;11;;;;-3.7;-3.29477712;-4.15214948;-5.88486824;-57.29856849;;;
i012;diallylamine;H12C6N1;1;218.8947438;9.3;;;;-4;-4.69116366;-5.22137541;-6.1440441;-58.81503957;;;
i013;trimethylamine;H10C3N1;1;219.4530963;9.8;;17.6;9.8;-3.2;-1.99059484;-2.59209128;-3.77154741;-58.13893351;;-68.17406894;-58.71048092
i014;triethylamine;H16C6N1;1;226.8917989;10.8;;18.6;10.8;-3;-2.37804702;-3.31521947;-5.12695464;-51.86472378;;-62.82298739;-53.99167842
