Number;IUPAC-Name;Charge;Molecular Formula;Isomeric SMILES;Water;DMSO;Acetonitrile;Methanol;dG_gas;Water_neutral;DMSO_neutral;Acetonitrile_neutral;Methanol_neutral;Water_neutral_ref;Water_pka;DMSO_pka;Acetonitrile_pka;Methanol_pka;Water_pka_ref;DMSO_pka_ref;Acetonitrile_pka_ref;Methanol_pka_ref;;;;;
93;methylsulfanylmethane;1;H7C2S1;CSC;-61.7;;;;191.1;-1.5;-3.3;-3.9;-3.3;53;-7;;;;48;;;;;;;;
94;methanethiol;-1;H3C1S1;CS;-78.8;;;;352.5;-1.2;-3.2;-3.5;-2.9;53;10.3;;;;48;;;;;;;;
95;ethanethiol;-1;H5C2S1;CCS;-75.8;;;;349.8;-1.3;-3.4;-3.8;-3.3;53;10.6;;;;48;;;;;;;;
96;propane-1-thiol;-1;H7C3S1;CCCS;-74.9;;;;349.2;-1.1;-3.5;-4.1;-3.6;53;10.7;;;;48;;;;;;;;
97;benzenethiol;-1;H5C6S1;C1=CC=C(C=C1)S;-66.4;-58.5;;;333.7;-2.6;-7.1;-7.1;-6.5;53;6.6;10.3;;;48;26;;;;;;;
98;sulfane;-1;H1S1;S;-77.4;;;;347.1;-0.7;-3.1;-3.1;-2.5;53;7;;;;48;;;;;;;;
99;methylsulfinylmethane;1;H7C2O1S1;CS(=O)C;-62.8;;-55.6;;205.7;-9.8;-7.4;-8.1;-8.5;46;-1.5;;5.8;;48;;5;;;;;;
100;methylsulfinylmethane;-1;H5C2O1S1;CS(=O)C;-74.4;-61.8;;;370.5;-9.8;-7.4;-8.1;-8.5;46;33;35;;;48;26;;;;;;;
101;fluorane;-1;F1;F;;;;;374.8;;-8.3;-5.7;-6.4;;;;;;;;;;;;;;
102;chlorane;-1;CL1;Cl;;;;;329.3;;-5.0;-3.4;-3.6;;;;;;;;;;;;;;
103;bromane;-1;BR1;Br;;;;;319.3;;-4.2;-3.2;-3.2;;;;;;;;;;;;;;
104;chloroform;-1;C1CL3;C(Cl)(Cl)Cl;-59.0;;;;351.5;-1.1;-4.4;-4.5;-4.0;53;24;;;;48;;;;;;;;
105;2,2,2-trifluoroacetic acid;-1;C2O2F3;C(=O)(C(F)(F)F)O;-61.4;-52.8;-60.6;;315.6;-7.3;-10.2;-7.6;-8.3;46;0.5;3.5;12.7;;48;26;10;;;;;;
106;2-chloroacetic acid;-1;H2C2O2CL1;C(C(=O)O)Cl;-72.5;;-69.1;-66.6;328.6;-8.7;-12.0;-9.9;-9.9;46;2.9;;17.6;7.9;48;;2;34,39;;;;;
107;2,2-dichloroacetic acid;-1;H1C2O2CL2;C(C(=O)O)(Cl)Cl;-64.5;-56.8;-66.1;-61.7;320.6;-6.6;-13.1;-10.6;-10.7;46;1.4;6.4;14.5;6.3;48;26;10,16;18,34,43;;;;;
108;2,2,2-trifluoroethanol;-1;H2C2O1F3;C(C(F)(F)F)O;-81.7;-62.4;;;355.1;-4.3;-7.6;-6.0;-6.2;53;12.4;23.5;;;48;26;;;;;;;
109;1,1,1,3,3,3-hexafluoropropan-2-ol;-1;H1C3O1F6;C(C(F)(F)F)(C(F)(F)F)O;-68.3;;;;338.0;-3.8;-8.5;-6.6;-6.9;53;9.3;;;;48;;;;;;;;
110;2-chlorophenol;-1;H4C6O1CL1;C1=CC=C(C(=C1)O)Cl;-69.8;;;-66.9;337.7;-4.5;-9.8;-7.9;-8.0;46;8.5;;;13;48;;;34;;;;;
